89	274	1074.61	2703.13	1113.24	2713.38	hallway	449, 510
90	306	1858.93	2692.31	2011.81	2832.06	facility_room	38
91	370	1173.02	1177.08	1299.8436293372692	1196.0646887861903	shop	516, 517, 518
92	211	1315.52	1264.19	1433.3799999999999	1471.94	shop	519, 520, 521
93	275	1062.83	2512.42	1164.57	2571.42	hallway	522, 523, 461
94	371	1355.043629337269	1177.08	1445.243629337269	1196.4646887861904	shop	393, 524, 525
95	212	1315.52	1471.94	1564.0	1687.39	shop	519, 425, 526, 527
96	276	1074.61	2571.42	1164.57	2644.7400000000002	hallway	342, 523, 460, 509
97	308	973.71	1869.52	1079.3	1943.98	facility_room	146
98	372	1173.02	1196.4646887861904	1446.1780043372692	1263.4748450361901	hallway	528, 529, 530, 516, 392, 505, 521, 524
99	213	1433.38	1264.19	1564.0	1471.94	shop	528, 391, 520, 426, 414, 527
100	277	1062.83	2452.05	1639.77	2512.42	hallway	531, 468, 532, 501, 533, 534, 535, 522, 459
101	309	1858.93	2554.42	2011.82	2692.31	facility_room	134, 46
102	373	1299.8436293372692	1177.08	1354.978004337269	1197.6748450361902	hallway	530, 181, 518, 525
103	214	586.16	2713.38	865.7	2906.49	shop	451, 452, 485, 486, 536
104	278	760.64	2452.05	1062.83	2514.86	hallway	385, 535, 537, 538, 495
105	310	995.2	869.7	1021.58	934.19	hallway	442, 539, 428
106	374	1562.91	1687.39	1640.053890055638	1742.7342475592322	hallway	424, 540, 541, 446, 542
107	215	865.7	2703.13	1264.6	2906.49	shop	450, 536, 511
108	279	973.71	1943.98	1079.3	2026.99	hallway	144, 145, 146
109	311	1021.58	1185.92	1173.02	1264.19	hallway	529, 517, 506, 427, 543
110	375	1053.35	1687.39	1564.0603521528062	1743.5567916571329	hallway	544, 513, 545, 526, 542
111	216	1264.6	2703.13	1571.3	2906.5	shop	508
112	280	760.43	1687.39	1053.35	1782.19	hallway	545, 482, 546, 515, 547, 344, 491
113	217	1571.31	2703.13	1858.93	2906.49	shop	499, 40
114	281	1459.43	1742.22	1639.77	1869.52	hallway	544, 548, 488, 504, 346, 347, 541
115	313	1638.8	2560.44	1924.9099999999999	2611.71	hallway	498, 549, 46, 62
116	218	1639.76	2611.71	1858.93	2745.91	shop	496, 549
117	282	1564.0	1869.52	1639.76	2452.05	hallway	448, 512, 420, 532, 548, 502, 550, 439, 487, 551
118	314	1874.02	2248.86	1953.22	2401.77	hallway	68, 552
119	219	1639.76	2248.86	1769.15	2560.44	shop	497, 531, 550
120	251	1053.35	1742.22	1459.4199999999998	1869.52	escalator	344, 345, 346, 347
121	315	1839.65	2401.77	1953.23	2505.31	hallway	552, 553, 431
122	220	1258.56	2261.63	1562.9	2452.05	shop	533, 551
123	252	684.67	2571.42	1074.61	2713.37	escalator	341, 342, 343
124	284	1638.8	1701.05	1660.99	1742.23	hallway	155, 540
125	316	1839.65	2505.31	1924.92	2560.43	hallway	421, 553, 62
126	221	973.71	2237.56	1079.3	2267.22	shop	554
127	253	1173.02	908.74	1271.02	1117.78	staircase	81
128	285	945.65	1264.19	1022.39	1687.39	hallway	514, 546, 490, 507, 555
129	222	973.71	2267.22	1258.5700000000002	2452.0499999999997	shop	534, 537, 554
130	254	1791.82	1334.84	1975.82	1420.74	staircase	158, 159
131	286	760.43	1183.66	945.65	1264.19	hallway	436, 492, 556, 557
132	350	684.66	1185.92	760.43	1582.51	hallway	437, 457, 557, 494, 558, 447
133	223	760.7	2108.17	973.71	2452.05	shop	384, 377, 538
134	255	1769.16	2249.45	1874.0300000000002	2401.77	staircase	68
135	287	945.09	934.19	1021.57	1264.19	hallway	435, 539, 555, 444, 556, 429, 543
136	351	684.66	1582.5	760.43	1954.59	hallway	465, 547, 484, 471, 489, 380, 493, 558
